INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
3886884,27.17,1019.0,39.0,12.03,75.0,10000.0,3.6,
1542008,13.19,1005.0,93.0,12.08,100.0,2414.0,5.7,0.89
4155962,16.08,1026.0,72.0,11.04,75.0,10000.0,3.1,
607529,-3.19,1017.0,71.0,-7.19,100.0,10000.0,7.2,
418768,14.48,1021.0,46.0,3.01,0.0,10000.0,5.7,
1046064,3.31,1025.0,78.0,-0.13,75.0,10000.0,0.0,
4722116,-11.44,1022.0,83.0,-13.5,0.0,10000.0,4.1,
3181706,20.96,1013.0,84.0,18.15,75.0,10000.0,4.1,
197626,8.16,1024.0,92.0,6.94,100.0,1207.0,2.6,
1534767,7.72,1011.0,95.0,6.97,100.0,4828.0,4.6,0.5
850995,-4.45,1015.0,47.0,-13.03,75.0,10000.0,1.5,
489573,1.93,1001.0,89.0,0.31,100.0,8047.0,8.2,3.23
55343,-0.31,1012.0,88.0,-1.85,100.0,1609.0,5.1,
77461,-15.59,1035.0,59.0,-21.16,100.0,10000.0,6.2,
898433,-7.05,1037.0,39.0,-17.47,20.0,10000.0,2.1,
31655,-3.25,1030.0,74.0,-6.77,40.0,10000.0,0.0,
2287095,26.83,1023.0,62.0,18.94,100.0,10000.0,4.6,
516596,6.1,1020.0,76.0,2.19,75.0,10000.0,4.1,
15575,4.57,1020.0,72.0,-0.03,0.0,10000.0,1.5,
2135156,15.33,1010.0,80.0,11.9,75.0,10000.0,2.1,
870986,-3.53,1033.0,52.0,-11.05,0.0,10000.0,5.7,
119576,-19.54,1027.0,67.0,-23.66,100.0,10000.0,7.7,
334257,3.9,1023.0,54.0,-4.03,75.0,10000.0,4.1,
877562,10.86,1013.0,84.0,8.27,20.0,10000.0,4.1,
2685446,31.12,1016.0,64.0,23.5,75.0,10000.0,5.7,
2841469,14.84,1014.0,90.0,13.22,100.0,10000.0,9.8,2.0
4803110,4.45,994.0,77.0,0.78,75.0,10000.0,8.2,0.24
2719402,23.62,1008.0,70.0,17.83,100.0,10000.0,3.6,
4133867,27.77,1016.0,62.0,19.83,75.0,10000.0,6.7,0.19
